omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Muu,Kunta / tekninen toimi,Luontotorni,,Paimio,,Kuhankuonon näkötorni,,,,,67,6709304.58561272,Point (268392.34063272 6709304.58561272),268392.340632724
Muu,Yksityinen / yhdistys,Tulipaikka,,Paimio,,Paimion luontopolun kota,,,,,68,6709270.08499853,Point (268389.88237772 6709270.08499853),268389.882377716
Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Muinaisranta,,,,,69,6709242.03183281,Point (268474.67277182 6709242.03183281),268474.672771824
Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Korpelan korsu,,,,,70,6708524.94910441,Point (267614.02233801 6708524.94910441),267614.022338008
Muu,Yksityinen / yhdistys,Luonnonnahtavyys,,Paimio,,Yhteenkasvaneet männyt,,,,,71,6708751.60226634,Point (268039.91764553 6708751.60226634),268039.917645525
Muu,Yksityinen / yhdistys,Pysakointialue,,Paimio,,Paimion luontopolun pysäköintialue,,,,,72,6708589.32424127,Point (267061.684764 6708589.32424127),267061.684763996
Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näköala Paimion Parantolalle,,,,,73,6709646.92833471,Point (266814.94154778 6709646.92833471),266814.941547776
Kunta,Kunta / tekninen toimi,Tulipaikka,Grilli,Paimio,,Hiekkahelmi,,,,,74,6705541.32760014,Point (263007.85705912 6705541.32760014),263007.857059118
Kunta,Kunta / tekninen toimi,Kuivakaymala,Kemiallinen käymälä / esteetön käymälä,Paimio,,Hiekkahelmi,,,,,75,6705580.82708583,Point (263005.40302255 6705580.82708583),263005.403022554
Kunta,Kunta / tekninen toimi,Pysakointialue,Hiekkahelmen pysäköintialue,Paimio,,,Hiekkahelmi,,,,76,6705651.26073984,Point (263007.78383458 6705651.26073984),263007.783834585
Kunta,Kunta / tekninen toimi,Pysakointi_liikeste,Hiekkahelmentie 41,Paimio,,Hiekkahelmi,,,,,77,6705583.55246246,Point (262976.50976607 6705583.55246246),262976.50976607
