source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
75,Hiekkahelmi,Kuivakaymala,Paimio,Kemiallinen käymälä / esteetön käymälä,,,,,dry-toilet,Kunta,Kunta / tekninen toimi,,263005.403022554,6705580.82708583,Point (263005.40302255 6705580.82708583)
76,,Pysakointialue,Paimio,Hiekkahelmen pysäköintialue,,,,,parking-spot,Kunta,Kunta / tekninen toimi,Hiekkahelmi,263007.783834585,6705651.26073984,Point (263007.78383458 6705651.26073984)
77,Hiekkahelmi,Pysakointi_liikeste,Paimio,Hiekkahelmentie 41,,,,,parking-spot,Kunta,Kunta / tekninen toimi,,262976.50976607,6705583.55246246,Point (262976.50976607 6705583.55246246)
78,Askalan vesivoimalaitos,Nahtavyys,Paimio,,,,,,building,Muu,Muu,,263512.93826607,6715364.14315566,Point (263512.93826607 6715364.14315566)
79,Askalan ketoalue ja ketotalo,Nahtavyys,Paimio,,,,,,building,Muu,Yksityinen / yhdistys,,263413.149106842,6715429.46711118,Point (263413.14910684 6715429.46711118)
80,Askalan vesivoimalaitoksen pato,Nahtavyys,Paimio,,,,,,building,Muu,Muu,,263497.20251081,6715666.99257219,Point (263497.20251081 6715666.99257219)
81,Rukkijoen kylämiljöö,Nakoala,Paimio,,,,,,viewpoint,Muu,Muu,,264050.287721765,6715122.43627933,Point (264050.28772176 6715122.43627933)
82,Näkymä Paimionjoelle Isosillalta,Nakoala,Paimio,,,,,,viewpoint,Kunta,Kunta / tekninen toimi,,262347.127609974,6710646.87957185,Point (262347.12760997 6710646.87957185)
83,Isosilta,Silta,Paimio,,,,,,bridge,Kunta,Kunta / tekninen toimi,,262381.338574839,6710644.74130079,Point (262381.33857484 6710644.74130079)
84,Postinkujan idyllinen asuinalue,Nakoala,Paimio,,,,,,viewpoint,Muu,Muu,,262512.482305094,6710423.70700485,Point (262512.48230509 6710423.70700485)
85,Nakolinna,Nakoala,Paimio,Nakolinna on korkealla mäen päällä sijainnut muinaislinna. Mäeltä on hieno näkymä Paimionjokilaaksoon. Mäelle ei ole merkittyä reittiä.,,,,,viewpoint,Muu,Muu,,261437.592830081,6711833.99357832,Point (261437.59283008 6711833.99357832)
86,Jokipuisto,Opastaulu,Paimio,"Jokipuisto, entinen saha, Tammireitit",,,,,information-board,Kunta,Kunta / tekninen toimi,,262362.974380722,6710184.47656161,Point (262362.97438072 6710184.47656161)
87,Kohiseva,Nahtavyys,Paimio,Kohiseva on koski Vähäjoessa. Vanhan myllypadon kivimuuri on nähtävissä.,,,,,natural-attraction,Kunta,Kunta / tekninen toimi,,263563.430255381,6710151.95707652,Point (263563.43025538 6710151.95707652)
88,Vähäjokipolku,Opastaulu,Paimio,,,,,,information-board,Kunta,Kunta / tekninen toimi,,263435.942308635,6710134.32097917,Point (263435.94230863 6710134.32097917)
89,Vähäjokipolku,Pysakointialue,Paimio,,,,,,parking-spot,Kunta,Kunta / tekninen toimi,,263437.747123899,6710131.7816208,Point (263437.7471239 6710131.7816208)
90,Jokipuisto,Pysakointialue,Paimio,,,,,,parking-spot,Kunta,Kunta / tekninen toimi,,262357.672411997,6710162.38445566,Point (262357.672412 6710162.38445566)
91,Näköala Paimionjoelle Juntolassa,Nakoala,Paimio,,,,,,viewpoint,Muu,Muu,,264206.701647541,6719632.31910728,Point (264206.70164754 6719632.31910728)
